SuburbPostCodeKey,Suburb,PropertyValue,Updated_Year,Updated_Month
"2347-Red Hill","Red Hill","","2017","6"
"2347-Thirloene","Thirloene","","2017","6"
"2347-Upper Horton","Upper Horton","","2017","6"
"2347-Woodsreef","Woodsreef","","2017","6"
"2353-Moonbi","Moonbi","","2017","6"
"2355-Bendemeer","Bendemeer","","2017","6"
"2355-Watsons Creek","Watsons Creek","","2017","6"
"2359-Aberdeen","Aberdeen","","2017","6"
"2359-Bundarra","Bundarra","","2017","6"
"2359-Camerons Creek","Camerons Creek","","2017","6"
"2361-Ashford","Ashford","","2017","6"
"2361-Atholwood","Atholwood","","2017","6"
"2361-Bonshaw","Bonshaw","","2017","6"
"2361-Limestone","Limestone","","2017","6"
"2361-Pindaroi","Pindaroi","","2017","6"
"2365-Backwater","Backwater","","2017","6"
"2365-Bald Blair","Bald Blair","","2017","6"
"2365-Baldersleigh","Baldersleigh","","2017","6"
"2365-Bassendean","Bassendean","","2017","6"
"2365-Ben Lomond","Ben Lomond","","2017","6"
"2365-Black Mountain","Black Mountain","","2017","6"
"2365-Briarbrook","Briarbrook","","2017","6"
"2365-Brockley","Brockley","","2017","6"
"2365-Brushy Creek","Brushy Creek","","2017","6"
"2365-Falconer","Falconer","","2017","6"
"2365-Georges Creek","Georges Creek","","2017","6"
"2365-Glen Nevis","Glen Nevis","","2017","6"
"2365-Glencoe","Glencoe","","2017","6"
"2365-Green Hills","Green Hills","","2017","6"
"2365-Guyra","Guyra","","2017","6"
"2365-Llangothlin","Llangothlin","","2017","6"
"2365-Maybole","Maybole","","2017","6"
"2365-Mount Mitchell","Mount Mitchell","","2017","6"
"2365-New Valley","New Valley","","2017","6"
"2365-Oban","Oban","","2017","6"
"2365-South Guyra","South Guyra","","2017","6"
"2365-Tenterden","Tenterden","","2017","6"
"2365-The Basin","The Basin","","2017","6"
"2365-Tubbamurra","Tubbamurra","","2017","6"
"2365-Wandsworth","Wandsworth","","2017","6"
"2369-Old Mill","Old Mill","","2017","6"
"2369-Stannifer","Stannifer","","2017","6"
"2369-Tingha","Tingha","","2017","6"
"2371-Capoompeta","Capoompeta","","2017","6"
"2371-Deepwater","Deepwater","","2017","6"
"2371-Emmaville","Emmaville","","2017","6"
"2371-Rocky Creek","Rocky Creek","","2017","6"
"2371-Stannum","Stannum","","2017","6"
"2371-Tent Hill","Tent Hill","","2017","6"
"2371-The Gulf","The Gulf","","2017","6"
"2371-Torrington","Torrington","","2017","6"
"2371-Wellington Vale","Wellington Vale","","2017","6"
"2371-Yellow Dam","Yellow Dam","","2017","6"
"2381-Breeza","Breeza","","2017","6"
"2381-Curlewis","Curlewis","","2017","6"
"2381-Premer","Premer","","2017","6"
"2381-Tambar Springs","Tambar Springs","","2017","6"
"2382-Boggabri","Boggabri","","2017","6"
"2382-Maules Creek","Maules Creek","","2017","6"
"2382-Wean","Wean","","2017","6"
"2382-Willala","Willala","","2017","6"
"2388-Boolcarroll","Boolcarroll","","2017","6"
"2388-Cuttabri","Cuttabri","","2017","6"
"2388-Jews Lagoon","Jews Lagoon","","2017","6"
"2388-Merah North","Merah North","","2017","6"
"2388-Pilliga","Pilliga","","2017","6"
"2388-Spring Plains","Spring Plains","","2017","6"
"2388-The Pilliga","The Pilliga","","2017","6"
"2388-Wee Waa","Wee Waa","","2017","6"
"2388-Yarrie Lake","Yarrie Lake","","2017","6"
"2395-Binnaway","Binnaway","","2017","6"
"2395-Ropers Road","Ropers Road","","2017","6"
"2395-Weetaliba","Weetaliba","","2017","6"
"2396-Baradine","Baradine","","2017","6"
"2396-Barwon","Barwon","","2017","6"
"2396-Goorianawa","Goorianawa","","2017","6"
"2396-Kenebri","Kenebri","","2017","6"
"2399-Biniguy","Biniguy","","2017","6"
"2399-Pallamallawa","Pallamallawa","","2017","6"
"2402-Balfours Peak","Balfours Peak","","2017","6"
"2402-Coolatai","Coolatai","","2017","6"
"2402-Warialda","Warialda","","2017","6"
"2402-Warialda Rail","Warialda Rail","","2017","6"
"2403-Delungra","Delungra","","2017","6"
"2403-Gragin","Gragin","","2017","6"
"2403-Myall Creek","Myall Creek","","2017","6"
"2404-Bangheet","Bangheet","","2017","6"
"2404-Bingara","Bingara","","2017","6"
"2404-Dinoga","Dinoga","","2017","6"
"2404-Elcombe","Elcombe","","2017","6"
"2404-Gineroi","Gineroi","","2017","6"
"2404-Keera","Keera","","2017","6"
"2404-Pallal","Pallal","","2017","6"
"2404-Riverview","Riverview","","2017","6"
"2404-Upper Bingara","Upper Bingara","","2017","6"
"2406-Mungindi","Mungindi","","2017","6"
"2406-Weemelah","Weemelah","","2017","6"
"2409-Boggabilla","Boggabilla","","2017","6"
"2409-Boonal","Boonal","","2017","6"
"2415-Monkerai","Monkerai","","2017","6"
"2415-Nooroo","Nooroo","","2017","6"
"2415-Stroud Road","Stroud Road","","2017","6"
"2415-Upper Karuah River","Upper Karuah River","","2017","6"
"2415-Weismantels","Weismantels","","2017","6"
"2421-Fishers Hill","Fishers Hill","","2017","6"
"2421-Paterson","Paterson","","2017","6"
"2421-Tocal","Tocal","","2017","6"
"2421-Torryburn","Torryburn","","2017","6"
"2421-Vacy","Vacy","","2017","6"
"2421-Webbers Creek","Webbers Creek","","2017","6"
"2424-Caffreys Flat","Caffreys Flat","","2017","6"
"2424-Cells River","Cells River","","2017","6"
"2424-Cooplacurripa","Cooplacurripa","","2017","6"
"2424-Cundle Flat","Cundle Flat","","2017","6"
"2424-Knorrit Flat","Knorrit Flat","","2017","6"
"2424-Mount George","Mount George","","2017","6"
"2424-Number One","Number One","","2017","6"
"2424-Tiri","Tiri","","2017","6"
"2426-Coopernook","Coopernook","","2017","6"
"2426-Langley Vale","Langley Vale","","2017","6"
"2426-Moto","Moto","","2017","6"
"2449-Argents Hill","Argents Hill","","2017","6"
"2449-Bowraville","Bowraville","","2017","6"
"2449-Buckra Bendinni","Buckra Bendinni","","2017","6"
"2449-Girralong","Girralong","","2017","6"
"2449-Kennaicle Creek","Kennaicle Creek","","2017","6"
"2449-Missabotti","Missabotti","","2017","6"
"2449-South Arm","South Arm","","2017","6"
"2449-Tewinga","Tewinga","","2017","6"
"2462-Calliope","Calliope","","2017","6"
"2462-Coldstream","Coldstream","","2017","6"
"2462-Diggers Camp","Diggers Camp","","2017","6"
"2462-Gilletts Ridge","Gilletts Ridge","","2017","6"
"2462-Lake Hiawatha","Lake Hiawatha","","2017","6"
"2462-Lavadia","Lavadia","","2017","6"
"2462-Minnie Water","Minnie Water","","2017","6"
"2462-Pillar Valley","Pillar Valley","","2017","6"
"2462-Swan Creek","Swan Creek","","2017","6"
"2462-Tucabia","Tucabia","","2017","6"
"2462-Ulmarra","Ulmarra","","2017","6"
"2462-Wooli","Wooli","","2017","6"
"2465-Harwood","Harwood","","2017","6"
"2471-Bora Ridge","Bora Ridge","","2017","6"
"2471-Codrington","Codrington","","2017","6"
"2471-Coraki","Coraki","","2017","6"
"2471-East Coraki","East Coraki","","2017","6"
"2471-Green Forest","Green Forest","","2017","6"
"2471-Greenridge","Greenridge","","2017","6"
"2471-North Woodburn","North Woodburn","","2017","6"
"2471-Swan Bay","Swan Bay","","2017","6"
"2471-Tatham","Tatham","","2017","6"
"2472-Broadwater","Broadwater","","2017","6"
"2472-Buckendoon","Buckendoon","","2017","6"
"2472-Esk","Esk","","2017","6"
"2472-Kilgin","Kilgin","","2017","6"
"2472-New Italy","New Italy","","2017","6"
"2472-Rileys Hill","Rileys Hill","","2017","6"
"2472-Tabbimoble","Tabbimoble","","2017","6"
"2472-Woodburn","Woodburn","","2017","6"
"2475-Tooloom","Tooloom","","2017","6"
"2475-Upper Tooloom","Upper Tooloom","","2017","6"
"2475-Urbenville","Urbenville","","2017","6"
"2475-Wallaby Creek","Wallaby Creek","","2017","6"
"2476-Acacia Creek","Acacia Creek","","2017","6"
"2476-Acacia Plateau","Acacia Plateau","","2017","6"
"2476-Boomi Creek","Boomi Creek","","2017","6"
"2476-Brumby Plains","Brumby Plains","","2017","6"
"2476-Koreelah","Koreelah","","2017","6"
"2476-Legume","Legume","","2017","6"
"2476-Lindesay Creek","Lindesay Creek","","2017","6"
"2476-Lower Acacia Creek","Lower Acacia Creek","","2017","6"
"2476-Muli Muli","Muli Muli","","2017","6"
"2476-Old Koreelah","Old Koreelah","","2017","6"
"2476-The Glen","The Glen","","2017","6"
"2476-Woodenbong","Woodenbong","","2017","6"
"2490-North Tumbulgum","North Tumbulgum","","2017","6"
"2490-Tumbulgum","Tumbulgum","","2017","6"
"2538-Brooman","Brooman","","2017","6"
"2538-Little Forest","Little Forest","","2017","6"
"2538-Milton","Milton","","2017","6"
"2538-Mogood","Mogood","","2017","6"
"2538-Morton","Morton","","2017","6"
"2538-Porters Creek","Porters Creek","","2017","6"
"2538-Woodburn","Woodburn","","2017","6"
"2538-Woodstock","Woodstock","","2017","6"
"2545-Belowra","Belowra","","2017","6"
"2545-Bodalla","Bodalla","","2017","6"
"2545-Cadgee","Cadgee","","2017","6"
"2545-Eurobodalla","Eurobodalla","","2017","6"
"2545-Nerrigundah","Nerrigundah","","2017","6"
"2545-Potato Point","Potato Point","","2017","6"
"2559-Blairmount","Blairmount","","2017","6"
"2559-Claymore","Claymore","","2017","6"
"2568-Menangle","Menangle","","2017","6"
"2569-Douglas Park","Douglas Park","","2017","6"
"2581-Bellmount Forest","Bellmount Forest","","2017","6"
"2581-Bevendale","Bevendale","","2017","6"
"2581-Biala","Biala","","2017","6"
"2581-Blakney Creek","Blakney Creek","","2017","6"
"2581-Breadalbane","Breadalbane","","2017","6"
"2581-Broadway","Broadway","","2017","6"
"2581-Collector","Collector","","2017","6"
"2581-Cullerin","Cullerin","","2017","6"
"2581-Dalton","Dalton","","2017","6"
"2581-Gunning","Gunning","","2017","6"
"2581-Gurrundah","Gurrundah","","2017","6"
"2581-Lade Vale","Lade Vale","","2017","6"
"2581-Lake George","Lake George","","2017","6"
"2581-Lerida","Lerida","","2017","6"
"2581-Merrill","Merrill","","2017","6"
"2581-Oolong","Oolong","","2017","6"
"2581-Wollogorang","Wollogorang","","2017","6"
"2586-Boorowa","Boorowa","","2017","6"
"2586-Frogmore","Frogmore","","2017","6"
"2586-Goba Creek","Goba Creek","","2017","6"
"2586-Godfreys Creek","Godfreys Creek","","2017","6"
"2586-Kenyu","Kenyu","","2017","6"
"2586-Murringo","Murringo","","2017","6"
"2586-Reids Flat","Reids Flat","","2017","6"
"2586-Rye Park","Rye Park","","2017","6"
"2586-Taylors Flat","Taylors Flat","","2017","6"
"2587-Aurville","Aurville","","2017","6"
"2587-Cunningar","Cunningar","","2017","6"
"2587-Demondrille","Demondrille","","2017","6"
"2587-Garangula","Garangula","","2017","6"
"2587-Harden","Harden","","2017","6"
"2587-Kingsvale","Kingsvale","","2017","6"
"2587-Mcmahons Reef","Mcmahons Reef","","2017","6"
"2587-Murrumburrah","Murrumburrah","","2017","6"
"2587-Nubba","Nubba","","2017","6"
"2587-Prunevale","Prunevale","","2017","6"
"2587-Wombat","Wombat","","2017","6"
"2626-Bredbo","Bredbo","","2017","6"
"2626-Bumbalong","Bumbalong","","2017","6"
"2626-Colinton","Colinton","","2017","6"
"2628-Avonside","Avonside","","2017","6"
"2628-Beloka","Beloka","","2017","6"
"2628-Berridale","Berridale","","2017","6"
"2628-Braemar","Braemar","","2017","6"
"2628-Byadbo Wilderness","Byadbo Wilderness","","2017","6"
"2628-Cootralantra","Cootralantra","","2017","6"
"2628-Dalgety","Dalgety","","2017","6"
"2628-Eucumbene","Eucumbene","","2017","6"
"2628-Eucumbene Cove","Eucumbene Cove","","2017","6"
"2628-Nimmo","Nimmo","","2017","6"
"2628-Numbla Vale","Numbla Vale","","2017","6"
"2628-Paupong","Paupong","","2017","6"
"2628-Rocky Plain","Rocky Plain","","2017","6"
"2628-Snowy Plains","Snowy Plains","","2017","6"
"2629-Adaminaby","Adaminaby","","2017","6"
"2629-Anglers Reach","Anglers Reach","","2017","6"
"2629-Bolaro","Bolaro","","2017","6"
"2629-Cabramurra","Cabramurra","","2017","6"
"2629-Long Plain","Long Plain","","2017","6"
"2629-Old Adaminaby","Old Adaminaby","","2017","6"
"2629-Providence Portal","Providence Portal","","2017","6"
"2629-Tantangara","Tantangara","","2017","6"
"2629-Yaouk","Yaouk","","2017","6"
"2653-Burra","Burra","","2017","6"
"2653-Courabyra","Courabyra","","2017","6"
"2653-Glenroy","Glenroy","","2017","6"
"2653-Mannus","Mannus","","2017","6"
"2653-Maragle","Maragle","","2017","6"
"2653-Munderoo","Munderoo","","2017","6"
"2653-Paddys River","Paddys River","","2017","6"
"2653-Taradale","Taradale","","2017","6"
"2653-Tumbarumba","Tumbarumba","","2017","6"
"2653-Willigobung","Willigobung","","2017","6"
"2655-Birdlip","Birdlip","","2017","6"
"2655-French Park","French Park","","2017","6"
"2655-Kubura","Kubura","","2017","6"
"2655-The Rock","The Rock","","2017","6"
"2655-Tootool","Tootool","","2017","6"
"2656-Brookdale","Brookdale","","2017","6"
"2656-Fargunyah","Fargunyah","","2017","6"
"2656-Lockhart","Lockhart","","2017","6"
"2656-Milbrulong","Milbrulong","","2017","6"
"2656-Osborne","Osborne","","2017","6"
"2656-Urangeline","Urangeline","","2017","6"
"2656-Urangeline East","Urangeline East","","2017","6"
"2658-Grubben","Grubben","","2017","6"
"2658-Henty","Henty","","2017","6"
"2658-Munyabla","Munyabla","","2017","6"
"2658-Pleasant Hills","Pleasant Hills","","2017","6"
"2658-Ryan","Ryan","","2017","6"
"2659-Alma Park","Alma Park","","2017","6"
"2659-Walla Walla","Walla Walla","","2017","6"
"2660-Carnsdale","Carnsdale","","2017","6"
"2660-Culcairn","Culcairn","","2017","6"
"2660-Morven","Morven","","2017","6"
"2668-Barmedman","Barmedman","","2017","6"
"2669-Bygalorie","Bygalorie","","2017","6"
"2669-Erigolia","Erigolia","","2017","6"
"2669-Girral","Girral","","2017","6"
"2669-Kikoira","Kikoira","","2017","6"
"2669-Melbergen","Melbergen","","2017","6"
"2669-Naradhan","Naradhan","","2017","6"
"2669-Rankins Springs","Rankins Springs","","2017","6"
"2669-Tallimba","Tallimba","","2017","6"
"2669-Tullibigeal","Tullibigeal","","2017","6"
"2669-Ungarie","Ungarie","","2017","6"
"2669-Weethalle","Weethalle","","2017","6"
"2669-Weja","Weja","","2017","6"
"2672-Burgooney","Burgooney","","2017","6"
"2672-Curlew Waters","Curlew Waters","","2017","6"
"2672-Lake Cargelligo","Lake Cargelligo","","2017","6"
"2672-Murrin Bridge","Murrin Bridge","","2017","6"
"2672-Wargambegal","Wargambegal","","2017","6"
"2675-Hillston","Hillston","","2017","6"
"2675-Lake Brewster","Lake Brewster","","2017","6"
"2675-Monia Gap","Monia Gap","","2017","6"
"2675-Roto","Roto","","2017","6"
"2675-Wallanthery","Wallanthery","","2017","6"
"2681-Myall Park","Myall Park","","2017","6"
"2681-Yenda","Yenda","","2017","6"
"2701-Coolamon","Coolamon","","2017","6"
"2701-Methul","Methul","","2017","6"
"2701-Rannock","Rannock","","2017","6"
"2701-Tooyal","Tooyal","","2017","6"
"2702-Ganmain","Ganmain","","2017","6"
"2703-Yanco","Yanco","","2017","6"
"2707-Argoon","Argoon","","2017","6"
"2707-Coleambally","Coleambally","","2017","6"
"2712-Berrigan","Berrigan","","2017","6"
"2712-Boomanoomana","Boomanoomana","","2017","6"
"2713-Blighty","Blighty","","2017","6"
"2713-Finley","Finley","","2017","6"
"2713-Logie Brae","Logie Brae","","2017","6"
"2713-Myrtle Park","Myrtle Park","","2017","6"
"2714-Aratula","Aratula","","2017","6"
"2714-Pine Lodge","Pine Lodge","","2017","6"
"2714-Tocumwal","Tocumwal","","2017","6"
"2714-Tuppal","Tuppal","","2017","6"
"2715-Arumpo","Arumpo","","2017","6"
"2715-Balranald","Balranald","","2017","6"
"2715-Hatfield","Hatfield","","2017","6"
"2715-Mungo","Mungo","","2017","6"
"2715-Penarie","Penarie","","2017","6"
"2716-Coree South","Coree South","","2017","6"
"2716-Four Corners","Four Corners","","2017","6"
"2716-Jerilderie","Jerilderie","","2017","6"
"2716-Mabins Well","Mabins Well","","2017","6"
"2717-Dareton","Dareton","","2017","6"
"2721-Bland","Bland","","2017","6"
"2721-Quandialla","Quandialla","","2017","6"
"2725-Stockinbingal","Stockinbingal","","2017","6"
"2726-Bundarbo","Bundarbo","","2017","6"
"2726-Jugiong","Jugiong","","2017","6"
"2729-Adelong","Adelong","","2017","6"
"2729-Bangadang","Bangadang","","2017","6"
"2729-Black Creek","Black Creek","","2017","6"
"2729-Califat","Califat","","2017","6"
"2729-Cooleys Creek","Cooleys Creek","","2017","6"
"2729-Darlow","Darlow","","2017","6"
"2729-Ellerslie","Ellerslie","","2017","6"
"2729-Grahamstown","Grahamstown","","2017","6"
"2729-Mount Adrah","Mount Adrah","","2017","6"
"2729-Mount Horeb","Mount Horeb","","2017","6"
"2729-Mundarlo","Mundarlo","","2017","6"
"2729-Sandy Gully","Sandy Gully","","2017","6"
"2729-Sharps Creek","Sharps Creek","","2017","6"
"2729-Tumblong","Tumblong","","2017","6"
"2729-Westwood","Westwood","","2017","6"
"2729-Wondalga","Wondalga","","2017","6"
"2729-Yaven Creek","Yaven Creek","","2017","6"
"2730-Bago","Bago","","2017","6"
"2730-Batlow","Batlow","","2017","6"
"2730-Green Hills","Green Hills","","2017","6"
"2730-Kunama","Kunama","","2017","6"
"2730-Lower Bago","Lower Bago","","2017","6"
"2732-Barham","Barham","","2017","6"
"2732-Burraboi","Burraboi","","2017","6"
"2732-Cobramunga","Cobramunga","","2017","6"
"2732-Gonn","Gonn","","2017","6"
"2732-Noorong","Noorong","","2017","6"
"2732-Thule","Thule","","2017","6"
"2732-Tullakool","Tullakool","","2017","6"
"2733-Dhuragoon","Dhuragoon","","2017","6"
"2733-Mallan","Mallan","","2017","6"
"2733-Moulamein","Moulamein","","2017","6"
"2733-Niemur","Niemur","","2017","6"
"2734-Cunninyeuk","Cunninyeuk","","2017","6"
"2734-Dilpurra","Dilpurra","","2017","6"
"2734-Kyalite","Kyalite","","2017","6"
"2734-Mellool","Mellool","","2017","6"
"2734-Moolpa","Moolpa","","2017","6"
"2734-Stony Crossing","Stony Crossing","","2017","6"
"2734-Tooranie","Tooranie","","2017","6"
"2734-Wetuppa","Wetuppa","","2017","6"
"2736-Goodnight","Goodnight","","2017","6"
"2736-Tooleybuc","Tooleybuc","","2017","6"
"2737-Benanee","Benanee","","2017","6"
"2737-Euston","Euston","","2017","6"
"2738-Gol Gol","Gol Gol","","2017","6"
"2738-Monak","Monak","","2017","6"
"2738-Trentham Cliffs","Trentham Cliffs","","2017","6"
"2739-Buronga","Buronga","","2017","6"
"2757-Kurmond","Kurmond","","2017","6"
"2775-Central Macdonald","Central Macdonald","","2017","6"
"2775-Fernances","Fernances","","2017","6"
"2775-Gunderman","Gunderman","","2017","6"
"2775-Higher Macdonald","Higher Macdonald","","2017","6"
"2775-Laughtondale","Laughtondale","","2017","6"
"2775-Leets Vale","Leets Vale","","2017","6"
"2775-Lower Macdonald","Lower Macdonald","","2017","6"
"2775-Marlow","Marlow","","2017","6"
"2775-Mogo Creek","Mogo Creek","","2017","6"
"2775-Perrys Crossing","Perrys Crossing","","2017","6"
"2775-Singletons Mill","Singletons Mill","","2017","6"
"2775-Spencer","Spencer","","2017","6"
"2775-St Albans","St Albans","","2017","6"
"2775-Upper Macdonald","Upper Macdonald","","2017","6"
"2775-Webbs Creek","Webbs Creek","","2017","6"
"2775-Wisemans Ferry","Wisemans Ferry","","2017","6"
"2775-Wrights Creek","Wrights Creek","","2017","6"
"2778-Bulls Camp","Bulls Camp","","2017","6"
"2778-Linden","Linden","","2017","6"
"2778-Woodford","Woodford","","2017","6"
"2783-Lawson","Lawson","","2017","6"
"2784-Bullaburra","Bullaburra","","2017","6"
"2786-Bell","Bell","","2017","6"
"2786-Dargan","Dargan","","2017","6"
"2786-Mount Irvine","Mount Irvine","","2017","6"
"2786-Mount Victoria","Mount Victoria","","2017","6"
"2786-Mount Wilson","Mount Wilson","","2017","6"
"2793-Darbys Falls","Darbys Falls","","2017","6"
"2793-Mount Mcdonald","Mount Mcdonald","","2017","6"
"2793-Roseberg","Roseberg","","2017","6"
"2793-Woodstock","Woodstock","","2017","6"
"2798-Byng","Byng","","2017","6"
"2798-Flyers Creek","Flyers Creek","","2017","6"
"2798-Forest Reefs","Forest Reefs","","2017","6"
"2798-Guyong","Guyong","","2017","6"
"2798-Millthorpe","Millthorpe","","2017","6"
"2798-Spring Terrace","Spring Terrace","","2017","6"
"2798-Tallwood","Tallwood","","2017","6"
"2803-Bendick Murrell","Bendick Murrell","","2017","6"
"2803-Crowther","Crowther","","2017","6"
"2803-Wirrimah","Wirrimah","","2017","6"
"2804-Billimari","Billimari","","2017","6"
"2804-Canowindra","Canowindra","","2017","6"
"2804-Moorbel","Moorbel","","2017","6"
"2804-Nyrang Creek","Nyrang Creek","","2017","6"
"2805-Gooloogong","Gooloogong","","2017","6"
"2806-Eugowra","Eugowra","","2017","6"
"2806-Eulimore","Eulimore","","2017","6"
"2808-Wyangala","Wyangala","","2017","6"
"2809-Greenethorpe","Greenethorpe","","2017","6"
"2810-Bimbi","Bimbi","","2017","6"
"2810-Caragabal","Caragabal","","2017","6"
"2810-Glenelg","Glenelg","","2017","6"
"2810-Grenfell","Grenfell","","2017","6"
"2810-Piney Range","Piney Range","","2017","6"
"2810-Pinnacle","Pinnacle","","2017","6"
"2810-Pullabooka","Pullabooka","","2017","6"
"2810-Warraderry","Warraderry","","2017","6"
"2823-Bundemar","Bundemar","","2017","6"
"2823-Cathundral","Cathundral","","2017","6"
"2823-Dandaloo","Dandaloo","","2017","6"
"2823-Gin Gin","Gin Gin","","2017","6"
"2823-Trangie","Trangie","","2017","6"
"2824-Beemunnel","Beemunnel","","2017","6"
"2824-Eenaweena","Eenaweena","","2017","6"
"2824-Marthaguy","Marthaguy","","2017","6"
"2824-Mount Foster","Mount Foster","","2017","6"
"2824-Mount Harris","Mount Harris","","2017","6"
"2824-Mumblebone Plain","Mumblebone Plain","","2017","6"
