SuburbPostCodeKey,PostCodeNew,Suburb,City,State,State_Code,Latitude,Longitude,LatLong
"3054-Princes Hill","3054","Princes Hill","Melbourne","Victoria","VIC",-37.780995,144.962792,"-37.780995,144.962792"
"3055-Brunswick South","3055","Brunswick South","Melbourne","Victoria","VIC",-37.772049,144.944635,"-37.772049,144.944635"
"3055-Brunswick West","3055","Brunswick West","Melbourne","Victoria","VIC",-37.762489,144.961176,"-37.762489,144.961176"
"3055-Moonee Vale","3055","Moonee Vale","Melbourne","Victoria","VIC",-37.763919,144.940314,"-37.763919,144.940314"
"3055-Moreland West","3055","Moreland West","Melbourne","Victoria","VIC",-37.713902,144.937112,"-37.713902,144.937112"
"3056-Brunswick","3056","Brunswick","Melbourne","Victoria","VIC",-37.764829,144.943778,"-37.764829,144.943778"
"3056-Brunswick Lower","3056","Brunswick Lower","Melbourne","Victoria","VIC",-37.759717,144.95137,"-37.759717,144.95137"
"3056-Brunswick North","3056","Brunswick North","Melbourne","Victoria","VIC",-37.760071,144.972291,"-37.760071,144.972291"
"3057-Brunswick East","3057","Brunswick East","Melbourne","Victoria","VIC",-37.76491,144.979567,"-37.76491,144.979567"
"3058-Batman","3058","Batman","Melbourne","Victoria","VIC",-37.733524,144.962837,"-37.733524,144.962837"
"3058-Coburg","3058","Coburg","Melbourne","Victoria","VIC",-37.743188,144.966279,"-37.743188,144.966279"
"3058-Coburg North","3058","Coburg North","Melbourne","Victoria","VIC",-37.730842,144.971699,"-37.730842,144.971699"
"3058-Merlynston","3058","Merlynston","Melbourne","Victoria","VIC",-37.720932,144.96131,"-37.720932,144.96131"
"3058-Moreland","3058","Moreland","Melbourne","Victoria","VIC",-37.748315,144.961827,"-37.748315,144.961827"
"3059-Greenvale","3059","Greenvale","Melbourne","Victoria","VIC",-37.642984,144.88872,"-37.642984,144.88872"
"3060-Fawkner","3060","Fawkner","Melbourne","Victoria","VIC",-37.759823,144.89571,"-37.759823,144.89571"
"3060-Fawkner East","3060","Fawkner East","Melbourne","Victoria","VIC",-37.709159,144.950411,"-37.709159,144.950411"
"3060-Fawkner North","3060","Fawkner North","Melbourne","Victoria","VIC",-37.705055,144.944577,"-37.705055,144.944577"
"3061-Campbellfield","3061","Campbellfield","Melbourne","Victoria","VIC",-37.643746,144.951369,"-37.643746,144.951369"
"3062-Somerton","3062","Somerton","Melbourne","Victoria","VIC",-37.642563,144.944259,"-37.642563,144.944259"
