DateValue,Year,Month,Week of Year,Day,Start of Year,End of Year,Month Name,Day of Year
2017-02-23 00:00:00.000,2017,2,9,23,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",54
2017-02-24 00:00:00.000,2017,2,9,24,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",55
2017-02-25 00:00:00.000,2017,2,9,25,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",56
2017-02-26 00:00:00.000,2017,2,9,26,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",57
2017-02-27 00:00:00.000,2017,2,10,27,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",58
2017-02-28 00:00:00.000,2017,2,10,28,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"February",59
2017-03-01 00:00:00.000,2017,3,10,1,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",60
2017-03-02 00:00:00.000,2017,3,10,2,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",61
2017-03-03 00:00:00.000,2017,3,10,3,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",62
2017-03-04 00:00:00.000,2017,3,10,4,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",63
2017-03-05 00:00:00.000,2017,3,10,5,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",64
2017-03-06 00:00:00.000,2017,3,11,6,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",65
2017-03-07 00:00:00.000,2017,3,11,7,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",66
2017-03-08 00:00:00.000,2017,3,11,8,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",67
2017-03-09 00:00:00.000,2017,3,11,9,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",68
2017-03-10 00:00:00.000,2017,3,11,10,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",69
2017-03-11 00:00:00.000,2017,3,11,11,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",70
2017-03-12 00:00:00.000,2017,3,11,12,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",71
2017-03-13 00:00:00.000,2017,3,12,13,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",72
2017-03-14 00:00:00.000,2017,3,12,14,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",73
2017-03-15 00:00:00.000,2017,3,12,15,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",74
2017-03-16 00:00:00.000,2017,3,12,16,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",75
2017-03-17 00:00:00.000,2017,3,12,17,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",76
2017-03-18 00:00:00.000,2017,3,12,18,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",77
2017-03-19 00:00:00.000,2017,3,12,19,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",78
2017-03-20 00:00:00.000,2017,3,13,20,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",79
2017-03-21 00:00:00.000,2017,3,13,21,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",80
2017-03-22 00:00:00.000,2017,3,13,22,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",81
2017-03-23 00:00:00.000,2017,3,13,23,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",82
2017-03-24 00:00:00.000,2017,3,13,24,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",83
2017-03-25 00:00:00.000,2017,3,13,25,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",84
2017-03-26 00:00:00.000,2017,3,13,26,2017-01-01 00:00:00.000,2017-12-31 00:00:00.000,"March",85
