Train_StationName,Suburb,Street_Name,Street_Type,Entrance_Type,Latitude,Longitude,Exit_Number,TrainStation_ID,LatLong
"Campbelltown","Campbelltown","Hurley","St","Path",-34.06369952,150.8146228,0,127,"-34.06369952,150.8146228"
"Capitol Square LR","Capitol Square LR","Hay","St","Path",-33.87970841,151.2055584,0,139,"-33.87970841,151.2055584"
"Capitol Square LR","Capitol Square LR","Hay","St","Path",-33.87980415,151.205512,0,140,"-33.87980415,151.205512"
"Carlingford","Carlingford","James","St","Path",-33.7821273,151.0468442,0,147,"-33.7821273,151.0468442"
"Corrimal","Corrimal","Railway","St","Path",-34.37567312,150.9048905,0,226,"-34.37567312,150.9048905"
"Cronulla","Cronulla","Cronulla","St","Path",-34.05684046,151.1517217,0,231,"-34.05684046,151.1517217"
"Cronulla","Cronulla","Cronulla","St","Path",-34.05572731,151.1515991,0,232,"-34.05572731,151.1515991"
"Cronulla","Cronulla","Cronulla","St","Path",-34.05535773,151.1514348,0,233,"-34.05535773,151.1514348"
"Dapto","Dapto","Station","St","Path",-34.4923588,150.7922224,0,236,"-34.4923588,150.7922224"
"Dapto","Dapto","Staiton","St","Path",-34.49307785,150.7918339,0,237,"-34.49307785,150.7918339"
"Dundas","Dundas","Station","St","Path",-33.80402698,151.0331103,0,257,"-33.80402698,151.0331103"
"Fairfield","Fairfield","Dale","St","Path",-33.87255271,150.957049,0,296,"-33.87255271,150.957049"
"Fish Market LR","Fish Market LR","Miller","St","Path",-33.87046367,151.1921783,0,312,"-33.87046367,151.1921783"
"Fish Market LR","Fish Market LR","Miller","St","Path",-33.87076898,151.1916529,0,313,"-33.87076898,151.1916529"
"Goulburn","Goulburn","Sloane","St","Path",-34.75901982,149.7205882,0,334,"-34.75901982,149.7205882"
"Hornsby","Hornsby","Station","St","Path",-33.70347962,151.0980916,0,387,"-33.70347962,151.0980916"
"Hurlstone Park","Hurlstone Park","Duntroon","St","Path",-33.91018981,151.1325419,0,389,"-33.91018981,151.1325419"
"Lewisham West LR","Lewisham West LR","Hudson","St","Path",-33.89385044,151.1434623,0,466,"-33.89385044,151.1434623"
"Lewisham West LR","Lewisham West LR","Smith","St","Path",-33.8937862,151.1433429,0,467,"-33.8937862,151.1433429"
"Lidcombe","Lidcombe","Church","St","Path",-33.86353155,151.0450641,0,468,"-33.86353155,151.0450641"
"Lithgow","Lithgow","Main","St","Path",-33.48092585,150.156929,0,489,"-33.48092585,150.156929"
"Liverpool","Liverpool","Moore","St","Path",-33.92314617,150.927698,0,491,"-33.92314617,150.927698"
"Maitland","Maitland","Station","St","Path",-32.73774765,151.552236,0,514,"-32.73774765,151.552236"
"Marion LR","Marion LR","Marion","St","Path",-33.8839155,151.1449963,0,519,"-33.8839155,151.1449963"
"Marrickville","Marrickville","Station","St","Path",-33.9139756,151.153316,0,520,"-33.9139756,151.153316"
"Marulan","Marulan","Wollondilly","St","Path",-34.7095012,150.0056778,0,532,"-34.7095012,150.0056778"
"Milsons Point","Milsons Point","Alfred","St","Path",-33.84594618,151.2117195,0,561,"-33.84594618,151.2117195"
"Moss Vale","Moss Vale","Argyle","St","Path",-34.54838916,150.372103,0,584,"-34.54838916,150.372103"
"Newcastle Interchange","Newcastle Interchange","Hannell","St","Path",-32.92412867,151.7598672,0,619,"-32.92412867,151.7598672"
"Newcastle Interchange","Newcastle Interchange","Hannell","St","Path",-32.92443205,151.7596352,0,620,"-32.92443205,151.7596352"
"Newcastle Interchange","Newcastle Interchange","Charles","St","Path",-32.9239171,151.7593884,0,621,"-32.9239171,151.7593884"
"Newcastle Interchange","Newcastle Interchange","Cooper","St","Path",-32.92445674,151.7589509,0,622,"-32.92445674,151.7589509"
"North Sydney","North Sydney","Blue","St","Path",-33.84102219,151.2074984,0,633,"-33.84102219,151.2074984"
"North Sydney","North Sydney","Blue","St","Path",-33.84100344,151.2073747,0,634,"-33.84100344,151.2073747"
"North Wollongong","North Wollongong","Station","St","Path",-34.41211824,150.8915599,0,636,"-34.41211824,150.8915599"
"North Wollongong","North Wollongong","Porter","St","Path",-34.41208744,150.8913264,0,639,"-34.41208744,150.8913264"
"Olympic Park","Olympic Park","Park","St","Path",-33.8461115,151.070683,0,648,"-33.8461115,151.070683"
"Ourimbah","Ourimbah","Station","St","Path",-33.35969505,151.3697508,0,666,"-33.35969505,151.3697508"
"Ourimbah","Ourimbah","Station","St","Path",-33.35937321,151.3697352,0,667,"-33.35937321,151.3697352"
"Paddy's Markets","Paddy's Markets","Hay","St","Path",-33.87925467,151.2027407,0,668,"-33.87925467,151.2027407"
"Paddy's Markets","Paddy's Markets","Hay","St","Path",-33.87933704,151.2026206,0,669,"-33.87933704,151.2026206"
"Padstow","Padstow","Banks","St","Path",-33.95168459,151.0323447,0,670,"-33.95168459,151.0323447"
"Pendle Hill","Pendle Hill","Joyce","St","Path",-33.80130891,150.9558506,0,690,"-33.80130891,150.9558506"
"Pyrmont Bay LR","Pyrmont Bay LR","Murray","St","Path",-33.869535,151.197707,0,724,"-33.869535,151.197707"
"Redfern","Redfern","Gibbons","St","Path",-33.8920298,151.1995113,0,729,"-33.8920298,151.1995113"
"Redfern","Redfern","Lawson","St","Path",-33.891563,151.198824,0,730,"-33.891563,151.198824"
"Regents Park","Regents Park","Amy","St","Path",-33.8833513,151.0241784,0,732,"-33.8833513,151.0241784"
"Rydalmere","Rydalmere","Brodie","St","Path",-33.81015641,151.0294797,0,767,"-33.81015641,151.0294797"
"Scone","Scone","Susan","St","Path",-32.04670656,150.8670728,0,776,"-32.04670656,150.8670728"
"Singleton","Singleton","Munro","St","Path",-32.57183342,151.1654861,0,792,"-32.57183342,151.1654861"
"St Peters","St Peters","Lord","St","Path",-33.90694267,151.1806495,0,811,"-33.90694267,151.1806495"
"Tahmoor","Tahmoor","George","St","Path",-34.22358755,150.5902412,0,831,"-34.22358755,150.5902412"
"Tahmoor","Tahmoor","Pitt","St","Path",-34.22346581,150.5898308,0,832,"-34.22346581,150.5898308"
"Telopea","Telopea","Sturt","St","Path",-33.79400629,151.041781,0,846,"-33.79400629,151.041781"
"Telopea","Telopea","Sturt","St","Path",-33.7945703,151.0413839,0,848,"-33.7945703,151.0413839"
"Teralba","Teralba","William","St","Path",-32.962727,151.6039263,0,856,"-32.962727,151.6039263"
"Turramurra","Turramurra","Rohini","St","Path",-33.73258953,151.1290978,0,885,"-33.73258953,151.1290978"
"Turramurra","Turramurra","William","St","Path",-33.73287787,151.128659,0,886,"-33.73287787,151.128659"
"Waratah Mills LR","Waratah Mills LR","Davis","St","Path",-33.8989622,151.140003,0,906,"-33.8989622,151.140003"
"Waratah Mills LR","Waratah Mills LR","Weston","St","Path",-33.8988126,151.1398647,0,907,"-33.8988126,151.1398647"
"Windsor","Windsor","George","St","Path",-33.61362381,150.8111058,0,947,"-33.61362381,150.8111058"
"Windsor","Windsor","Cox","St","Path",-33.61292723,150.8090296,0,948,"-33.61292723,150.8090296"
"Wingello","Wingello","Sydney","St","Path",-34.69201661,150.1582058,0,950,"-34.69201661,150.1582058"
"Wollongong","Wollongong","Crown","St","Path",-34.42582725,150.8886385,0,956,"-34.42582725,150.8886385"
"Wollongong","Wollongong","Station","St","Path",-34.42698795,150.8884363,0,958,"-34.42698795,150.8884363"
"Wollongong","Wollongong","Crown","St","Path",-34.42587253,150.8882123,0,961,"-34.42587253,150.8882123"
"Wynyard","Wynyard","Jamison","St","Path",-33.86445369,151.2053161,0,994,"-33.86445369,151.2053161"
"Wynyard","Wynyard","Napoleon","St","Path",-33.86524696,151.20397,0,998,"-33.86524696,151.20397"
"Aberdeen","Aberdeen","Macqueen","St","Ramp",-32.16688641,150.8919573,0,2,"-32.16688641,150.8919573"
"Albion Park","Albion Park","Burroo","St","Ramp",-34.56340933,150.79939,0,7,"-34.56340933,150.79939"
"Arncliffe","Arncliffe","Firth","St","Lift",-33.93677457,151.1468602,0,20,"-33.93677457,151.1468602"
"Ashfield","Ashfield","Station","St","Lift",-33.88744211,151.1259581,0,25,"-33.88744211,151.1259581"
"Ashfield","Ashfield","Brown","St","Lift",-33.88789161,151.1257974,0,27,"-33.88789161,151.1257974"
"Auburn","Auburn","Rawson","St","Ramp",-33.8492876,151.0332914,0,31,"-33.8492876,151.0332914"
"Awaba","Awaba","Adelaide","St","Ramp",-33.0129167,151.5421589,0,36,"-33.0129167,151.5421589"
"Banksia","Banksia","Hattersley","St","Ramp",-33.94490035,151.140849,0,39,"-33.94490035,151.140849"
"Banksia","Banksia","Railway","St","Ramp",-33.94479129,151.1404987,0,40,"-33.94479129,151.1404987"
"Beresfield","Beresfield","Addison","St","Lift",-32.79947121,151.6581617,0,62,"-32.79947121,151.6581617"
"Bondi Junction","Bondi Junction","Rowe","St","Ramp",-33.89186986,151.2483663,0,91,"-33.89186986,151.2483663"
"Booragul","Booragul","Fourth","St","Ramp",-32.97169903,151.605168,0,93,"-32.97169903,151.605168"
"Booragul","Booragul","Station","St","Ramp",-32.97190014,151.6047908,0,94,"-32.97190014,151.6047908"
"Bowral","Bowral","Wingercarribee","St","Lift",-34.47837068,150.4165765,0,98,"-34.47837068,150.4165765"
"Bowral","Bowral","Wingercarribee","St","Lift",-34.47827715,150.4163947,0,99,"-34.47827715,150.4163947"
"Branxton","Branxton","Railway","St","Ramp",-32.66221027,151.3459324,0,101,"-32.66221027,151.3459324"
"Branxton","Branxton","Railway","St","Ramp",-32.66209242,151.3455358,0,102,"-32.66209242,151.3455358"
"Bundanoon","Bundanoon","Erith","St","Ramp",-34.6557524,150.2997407,0,113,"-34.6557524,150.2997407"
"Cabramatta","Cabramatta","Broomfield","St","Lift",-33.89464265,150.9391047,0,119,"-33.89464265,150.9391047"
"Campbelltown","Campbelltown","Railway","St","Ramp",-34.06418971,150.8148139,0,125,"-34.06418971,150.8148139"
"Campbelltown","Campbelltown","Hurley","St","Lift",-34.06359144,150.8147393,0,126,"-34.06359144,150.8147393"
"Campbelltown","Campbelltown","Hurley","St","Lift",-34.06320084,150.8143088,0,130,"-34.06320084,150.8143088"
"Campsie","Campsie","Beamish","St","Ramp",-33.91049597,151.103574,0,132,"-33.91049597,151.103574"
"Campsie","Campsie","Beamish","St","Ramp",-33.91039285,151.1035577,0,133,"-33.91039285,151.1035577"
"Cardiff","Cardiff","Mary","St","Lift",-32.94140925,151.6622554,0,143,"-32.94140925,151.6622554"
"Chatswood","Chatswood","Thomas","St","Lift",-33.79765173,151.1812637,0,183,"-33.79765173,151.1812637"
"Chatswood","Chatswood","Railway","St","Lift",-33.79689881,151.1807121,0,186,"-33.79689881,151.1807121"
"Chatswood","Chatswood","Railway","St","Escalators",-33.79705047,151.1805363,0,190,"-33.79705047,151.1805363"
"Circular Quay","Circular Quay","Alfred","St","Escalators",-33.86127776,151.2107739,0,196,"-33.86127776,151.2107739"
"Circular Quay","Circular Quay","Alfred","St","Escalators",-33.86143954,151.2107457,0,197,"-33.86143954,151.2107457"
"Circular Quay","Circular Quay","Alfred","St","Lift",-33.86124347,151.2107343,0,198,"-33.86124347,151.2107343"
"Circular Quay","Circular Quay","Alfred","St","Lift",-33.86146637,151.2107121,0,199,"-33.86146637,151.2107121"
"Circular Quay","Circular Quay","Alfred","St","Escalators",-33.86125995,151.2105656,0,203,"-33.86125995,151.2105656"
"Circular Quay","Circular Quay","Alfred","St","Escalators",-33.86139905,151.2103289,0,204,"-33.86139905,151.2103289"
"Concord West","Concord West","Queen","St","Lift",-33.84803171,151.0859019,0,218,"-33.84803171,151.0859019"
"Concord West","Concord West","King","St","Lift",-33.84808986,151.0851995,0,220,"-33.84808986,151.0851995"
"Croydon","Croydon","Hennessy","St","Ramp",-33.88283666,151.1155154,0,234,"-33.88283666,151.1155154"
"Doonside","Doonside","Cross","St","Ramp",-33.76362795,150.8692347,0,247,"-33.76362795,150.8692347"
"Dungog","Dungog","Brown","St","Ramp",-32.40255754,151.759385,0,261,"-32.40255754,151.759385"
"East Richmond","East Richmond","Bourke","St","Ramp",-33.60180319,150.7588294,0,268,"-33.60180319,150.7588294"
"Emu Plains","Emu Plains","Mackellar","St","Lift",-33.74565742,150.6712836,0,281,"-33.74565742,150.6712836"
"Fairfield","Fairfield","Dale","St","Lift",-33.87264464,150.9568189,0,300,"-33.87264464,150.9568189"
"Gerringong","Gerringong","Belinda","St","Ramp",-34.74477882,150.8176504,0,316,"-34.74477882,150.8176504"
"Glebe LR","Glebe LR","Bayview","St","Ramp",-33.87729496,151.187253,0,318,"-33.87729496,151.187253"
"Green Square","Green Square","O'Riordan","St","Escalators",-33.90627864,151.2026934,0,340,"-33.90627864,151.2026934"
"Green Square","Green Square","O'Riordan","St","Lift",-33.90621492,151.2025402,0,341,"-33.90621492,151.2025402"
"Greta","Greta","Nelson","St","Ramp",-32.68678796,151.384282,0,342,"-32.68678796,151.384282"
"Greta","Greta","Mansfield","St","Ramp",-32.68667582,151.3840538,0,343,"-32.68667582,151.3840538"
"Hamilton","Hamilton","Beaumont","St","Ramp",-32.9185304,151.7483975,0,355,"-32.9185304,151.7483975"
"Hamilton","Hamilton","Beaumont","St","Ramp",-32.91841859,151.7482552,0,357,"-32.91841859,151.7482552"
"Harris Park","Harris Park","Marion","St","Ramp",-33.82335758,151.0079326,0,358,"-33.82335758,151.0079326"
"Hornsby","Hornsby","George","St","Ramp",-33.70355385,151.0988427,0,384,"-33.70355385,151.0988427"
"Hornsby","Hornsby","George","St","Ramp",-33.70373548,151.0987466,0,386,"-33.70373548,151.0987466"
"John Street Square LR","John Street Square LR","Harris","St","Ramp",-33.86726224,151.1924304,0,406,"-33.86726224,151.1924304"
